scenario,turn,turnClass,groundingRequired,grounded,providerCount,verifiedProviderCount,unsupportedProviderIds,attributeMismatches
study.birthday.07,2,recommendation,true,true,12,12,[],0
study.birthday.08,0,conversational_orchestration,false,,0,0,[],0
study.birthday.08,1,factual_faq,true,true,0,0,[],0
study.birthday.09,0,recommendation,true,true,9,9,[],0
study.birthday.10,0,recommendation,true,true,3,3,[],0
study.birthday.10,1,recommendation,true,true,3,3,[],0
study.baby_shower.01,0,recommendation,true,true,3,3,[],0
study.baby_shower.02,0,recommendation,true,true,12,12,[],0
study.baby_shower.03,0,recommendation,true,true,3,3,[],0
study.baby_shower.04,0,recommendation,true,true,2,2,[],0
study.baby_shower.04,1,recommendation,true,true,2,2,[],0
study.baby_shower.05,0,recommendation,true,true,2,2,[],0
study.baby_shower.05,1,recommendation,true,true,2,2,[],0
study.baby_shower.06,0,recommendation,true,true,12,12,[],0
study.baby_shower.06,1,recommendation,true,true,12,12,[],0
study.baby_shower.06,2,recommendation,true,true,12,12,[],0
study.baby_shower.07,0,recommendation,true,true,2,2,[],0
study.baby_shower.07,1,recommendation,true,true,2,2,[],0
study.baby_shower.07,2,recommendation,true,true,2,2,[],0
study.baby_shower.08,0,conversational_orchestration,false,,0,0,[],0
study.baby_shower.08,1,factual_faq,true,true,0,0,[],0
study.baby_shower.09,0,recommendation,true,true,2,2,[],0
study.baby_shower.10,0,recommendation,true,true,12,12,[],0
study.baby_shower.10,1,recommendation,true,true,12,12,[],0
study.corporate.01,0,recommendation,true,true,3,3,[],0
study.corporate.02,0,recommendation,true,true,12,12,[],0
study.corporate.03,0,recommendation,true,true,2,2,[],0
study.corporate.04,0,recommendation,true,true,2,2,[],0
study.corporate.04,1,recommendation,true,true,2,2,[],0
study.corporate.05,0,recommendation,true,true,2,2,[],0
study.corporate.05,1,recommendation,true,true,2,2,[],0
study.corporate.06,0,recommendation,true,true,11,11,[],0
study.corporate.06,1,recommendation,true,true,11,11,[],0
study.corporate.06,2,recommendation,true,true,11,11,[],0
study.corporate.07,0,recommendation,true,true,2,2,[],0
study.corporate.07,1,recommendation,true,true,2,2,[],0
study.corporate.07,2,recommendation,true,true,2,2,[],0
study.corporate.08,0,conversational_orchestration,false,,0,0,[],0
study.corporate.08,1,factual_faq,true,true,0,0,[],0
study.corporate.09,0,conversational_orchestration,false,,0,0,[],0
study.corporate.10,0,recommendation,true,true,1,1,[],0
study.corporate.10,1,recommendation,true,true,1,1,[],0
study.social.01,0,recommendation,true,true,11,11,[],0
study.social.02,0,recommendation,true,true,9,9,[],0
study.social.03,0,recommendation,true,true,4,4,[],0
study.social.04,0,recommendation,true,true,12,12,[],0
study.social.04,1,recommendation,true,true,11,11,[],0
study.social.05,0,recommendation,true,true,9,9,[],0
study.social.05,1,recommendation,true,true,9,9,[],0
study.social.06,0,recommendation,true,true,11,11,[],0
study.social.06,1,recommendation,true,true,11,11,[],0
study.social.06,2,recommendation,true,true,11,11,[],0
study.social.07,0,recommendation,true,true,12,12,[],0
study.social.07,1,recommendation,true,true,12,12,[],0
study.social.07,2,recommendation,true,true,12,12,[],0
study.social.08,0,conversational_orchestration,false,,0,0,[],0
study.social.08,1,factual_faq,true,true,0,0,[],0
study.social.09,0,recommendation,true,true,9,9,[],0
study.social.10,0,recommendation,true,true,12,12,[],0
study.social.10,1,recommendation,true,true,12,12,[],0
study.wedding.01,0,recommendation,true,true,9,9,[],0
study.wedding.03,0,recommendation,true,true,3,3,[],0
study.wedding.04,0,recommendation,true,true,10,10,[],0
study.wedding.04,1,recommendation,true,true,9,9,[],0
study.wedding.05,0,recommendation,true,true,10,10,[],0
study.wedding.05,1,recommendation,true,true,10,10,[],0
study.wedding.06,0,recommendation,true,true,12,12,[],0
study.wedding.06,1,recommendation,true,true,12,12,[],0
study.wedding.06,2,recommendation,true,true,12,12,[],0
study.wedding.07,0,recommendation,true,true,10,10,[],0
study.wedding.07,1,recommendation,true,true,10,10,[],0
study.wedding.07,2,recommendation,true,true,10,10,[],0
study.wedding.08,0,recommendation,true,true,4,4,[],0
study.wedding.08,1,recommendation,true,true,1,1,[],0
study.wedding.09,0,recommendation,true,true,2,2,[],0
study.wedding.10,0,recommendation,true,true,2,2,[],0
study.wedding.10,1,recommendation,true,true,2,2,[],0
study.birthday.01,0,recommendation,true,true,11,11,[],0
study.birthday.02,0,recommendation,true,true,9,9,[],0
study.birthday.03,0,recommendation,true,true,2,2,[],0
study.birthday.04,0,recommendation,true,true,12,12,[],0
study.birthday.04,1,recommendation,true,true,12,12,[],0
study.birthday.05,0,recommendation,true,true,12,12,[],0
study.birthday.05,1,recommendation,true,true,12,12,[],0
study.birthday.06,0,recommendation,true,true,9,9,[],0
study.birthday.06,1,recommendation,true,true,9,9,[],0
study.birthday.06,2,recommendation,true,true,9,9,[],0
study.birthday.07,0,recommendation,true,true,12,12,[],0
study.birthday.07,1,recommendation,true,true,12,12,[],0
study.birthday.07,2,recommendation,true,true,12,12,[],0
study.birthday.08,0,conversational_orchestration,false,,0,0,[],0
study.birthday.08,1,factual_faq,true,true,0,0,[],0
study.birthday.09,0,recommendation,true,true,9,9,[],0
study.birthday.10,0,recommendation,true,true,10,10,[],0
study.birthday.10,1,recommendation,true,true,9,9,[],0
study.baby_shower.01,0,recommendation,true,true,3,3,[],0
study.baby_shower.02,0,recommendation,true,true,12,12,[],0
study.baby_shower.04,0,recommendation,true,true,2,2,[],0
study.baby_shower.04,1,recommendation,true,true,2,2,[],0
study.baby_shower.05,0,recommendation,true,true,2,2,[],0
study.baby_shower.05,1,recommendation,true,true,2,2,[],0
study.baby_shower.06,0,conversational_orchestration,false,,0,0,[],0
study.baby_shower.06,1,conversational_orchestration,false,,0,0,[],0
study.baby_shower.06,2,recommendation,true,true,2,2,[],0
study.baby_shower.08,0,conversational_orchestration,false,,0,0,[],0
study.baby_shower.08,1,factual_faq,true,true,0,0,[],0
study.baby_shower.09,0,recommendation,true,true,2,2,[],0
study.baby_shower.10,0,recommendation,true,true,12,12,[],0
study.baby_shower.10,1,recommendation,true,true,12,12,[],0
study.corporate.01,0,recommendation,true,true,3,3,[],0
study.corporate.02,0,recommendation,true,true,12,12,[],0
study.corporate.03,0,recommendation,true,true,2,2,[],0
study.corporate.04,0,recommendation,true,true,2,2,[],0
study.corporate.04,1,recommendation,true,true,2,2,[],0
study.corporate.05,0,recommendation,true,true,2,2,[],0
study.corporate.05,1,recommendation,true,true,2,2,[],0
study.corporate.06,0,recommendation,true,true,11,11,[],0
study.corporate.06,1,recommendation,true,true,11,11,[],0
study.corporate.06,2,recommendation,true,true,11,11,[],0
study.corporate.07,0,recommendation,true,true,2,2,[],0
study.corporate.07,1,recommendation,true,true,2,2,[],0
study.corporate.07,2,recommendation,true,true,2,2,[],0
study.corporate.08,0,conversational_orchestration,false,,0,0,[],0
study.corporate.08,1,factual_faq,true,true,0,0,[],0
study.corporate.09,0,conversational_orchestration,false,,0,0,[],0
study.corporate.10,0,conversational_orchestration,false,,0,0,[],0
study.corporate.10,1,recommendation,true,true,10,10,[],0
study.social.01,0,recommendation,true,true,11,11,[],0
study.social.02,0,recommendation,true,true,9,9,[],0
study.social.03,0,recommendation,true,true,4,4,[],0
study.social.04,0,recommendation,true,true,12,12,[],0
study.social.04,1,recommendation,true,true,11,11,[],0
study.social.05,0,recommendation,true,true,9,9,[],0
study.social.05,1,recommendation,true,true,9,9,[],0
study.social.06,0,recommendation,true,true,11,11,[],0
study.social.06,1,recommendation,true,true,11,11,[],0
study.social.06,2,recommendation,true,true,11,11,[],0
study.social.07,0,recommendation,true,true,12,12,[],0
study.social.07,1,recommendation,true,true,12,12,[],0
study.social.07,2,recommendation,true,true,12,12,[],0
study.social.08,0,conversational_orchestration,false,,0,0,[],0
study.social.08,1,factual_faq,true,true,0,0,[],0
study.social.09,0,recommendation,true,true,9,9,[],0
study.social.10,0,recommendation,true,true,12,12,[],0
study.social.10,1,recommendation,true,true,12,12,[],0
