scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12079,4599,2710,4700,16252,919,14080,17171,0.8663549101649027,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14386,4575,6325,3430,16228,779,14080,17007,0.8676361843726892,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,14631,7888,7259,3541,17187,1245,14592,18432,0.849013789492058,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10748,4717,2883,3097,16222,778,14080,17000,0.8679570953026754,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13395,4899,5363,3058,18000,809,15616,18809,0.8675555555555555,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12147,4437,3705,3886,16233,834,14080,17067,0.8673689398139592,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5820,3301,0,2469,17974,423,14080,18397,0.7833537331701347,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9986,3898,3472,2569,16049,676,14080,16725,0.8773132282385195,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4741,2837,0,1873,16816,288,13824,17104,0.8220742150333016,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8612,2830,2759,2973,18352,448,15104,18800,0.8230165649520488,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12360,5721,2937,3587,16224,827,14080,17051,0.8678500986193294,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,6881,3458,0,3366,24697,483,20224,25180,0.8188848848038224,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6676,3369,0,3246,28976,387,22784,29363,0.7863059083379348,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,24706,16988,13806,4708,17877,1711,14592,19588,0.8162443362980366,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7620,2916,0,4664,24730,451,16256,25181,0.657339264051759,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9648,4899,2806,1876,15745,603,14080,16348,0.8942521435376309,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,12660,5692,4700,4244,16864,923,14592,17787,0.8652751423149905,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_related_providers|list_provider_reviews|list_provider_reviews|list_provider_reviews,13758,4992,2453,6271,37075,643,32000,37718,0.8631153068105192,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11061,4826,3062,3067,16067,821,14080,16888,0.8763303665899048,true,
study.birthday.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10545,4043,3200,3256,16159,757,14080,16916,0.8713410483321987,true,
study.birthday.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,12524,6620,4812,3258,16951,1054,14592,18005,0.8608341690755708,true,
study.birthday.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10166,4261,2926,2933,16038,709,14080,16747,0.877914951989026,true,
study.birthday.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9319,3285,2883,3099,17429,537,15104,17966,0.8666016409432555,true,
study.birthday.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12942,4600,3425,4873,16046,719,14080,16765,0.8774772528979184,true,
study.birthday.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5654,3735,0,1880,17457,404,14080,17861,0.8065532451165721,true,
study.birthday.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9415,4662,2721,1976,15809,502,14080,16311,0.8906319185274211,true,
study.birthday.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4286,2606,0,1657,16179,252,13824,16431,0.8544409419618023,true,
study.birthday.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,7097,2832,2442,1786,17512,342,15104,17854,0.862494289629968,true,
study.birthday.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10694,4995,2849,2810,16024,674,14080,16698,0.8786819770344483,true,
study.birthday.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7507,5252,0,2220,17312,352,14080,17664,0.8133086876155268,true,
study.birthday.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6058,2873,0,3154,26539,354,21760,26893,0.8199253928181167,true,
study.birthday.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12662,10278,0,2355,16328,1303,11008,17631,0.6741793238608526,true,
study.birthday.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7197,2761,0,4414,21937,370,16256,22307,0.7410311346127547,true,
study.birthday.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10889,4810,2746,3301,15716,580,14080,16296,0.8959022652074319,true,
study.birthday.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9359,4435,2837,2031,15892,653,14080,16545,0.8859803674804934,true,
study.birthday.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_related_providers,13394,4743,3719,4800,23280,830,20224,24110,0.8687285223367698,true,
study.baby_shower.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10011,4763,3032,2172,15898,602,14080,16500,0.8856459932066927,true,
study.baby_shower.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13593,4529,5176,3837,16313,873,14080,17186,0.8631153068105192,true,
study.baby_shower.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16648,8995,10619,4339,17621,1503,14592,19124,0.8281028318483628,true,
study.baby_shower.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8694,4334,2373,1953,15855,572,14080,16427,0.8880479344055503,true,
study.baby_shower.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7328,4768,0,2522,16950,627,14080,17577,0.8306784660766962,true,
study.baby_shower.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9527,4321,3319,1847,15854,576,14080,16430,0.8881039485303394,true,
study.baby_shower.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4770,3064,0,1675,16776,319,14080,17095,0.8392942298521697,true,
study.baby_shower.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8933,4160,2691,2044,15863,512,14080,16375,0.8876000756477337,true,
study.baby_shower.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4642,2572,0,1958,16286,245,13824,16531,0.8488272135576569,true,
study.baby_shower.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6413,4270,0,2103,17616,343,14080,17959,0.7992733878292462,true,
study.baby_shower.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,10967,4150,2513,4268,20554,574,18176,21128,0.8843047581979177,true,
study.baby_shower.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4714,2814,0,1871,17049,324,14080,17373,0.8258548888497859,true,
study.baby_shower.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6180,3205,0,2949,25664,358,21248,26022,0.827930174563591,true,
study.baby_shower.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,10496,8469,0,1998,16279,1121,14080,17400,0.8649179925056821,true,
study.baby_shower.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,6829,2688,0,4119,21896,373,16256,22269,0.74241870661308,true,
study.baby_shower.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_locations,10679,5042,2562,3040,20706,600,18176,21306,0.8778131942432146,true,
study.baby_shower.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9945,4599,2680,2625,15904,609,14592,16513,0.9175050301810865,true,
study.baby_shower.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11547,5406,3522,2440,17119,611,15104,17730,0.882294526549448,true,
study.corporate.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,11140,4616,3124,3359,20657,639,18176,21296,0.8798954349615142,true,
study.corporate.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12163,4981,4195,2901,16233,785,14080,17018,0.8673689398139592,true,
study.corporate.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,14227,7172,8618,3876,17255,1213,14592,18468,0.8456679223413504,true,
study.corporate.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9240,4056,2947,2201,15824,567,14080,16391,0.8897876643073812,true,
study.corporate.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,7531,3154,0,4339,22206,383,19200,22589,0.8646311807619562,true,
study.corporate.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,10045,4473,2627,2795,20557,592,18176,21149,0.8841757065719706,true,
study.corporate.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,8014,4792,0,3194,17018,295,14080,17313,0.8273592666588319,true,
study.corporate.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9726,3923,3019,2740,16012,648,14080,16660,0.8793404946290282,true,
study.corporate.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4758,3117,0,1611,16791,307,13824,17098,0.8232981954618546,true,
study.corporate.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5754,2687,0,3025,18112,277,11008,18389,0.607773851590106,true,
study.corporate.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,11573,5507,2824,3204,20577,664,18176,21241,0.883316324051125,true,
study.corporate.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5516,3298,0,2084,17157,403,14080,17560,0.820656291892522,true,
study.corporate.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,5877,3043,0,2809,25886,353,21248,26239,0.8208297921656494,true,
study.corporate.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12559,9342,0,3192,16288,1234,14080,17522,0.8644400785854617,true,
study.corporate.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7986,2541,0,5424,21695,395,16256,22090,0.7492970730583084,true,
study.corporate.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6765,4997,0,1740,15915,636,14080,16551,0.8846999685830977,true,
study.corporate.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,list_categories,6905,4378,0,2500,20459,559,18176,21018,0.8884109682780195,true,
study.corporate.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,13115,4496,3284,5297,24118,821,19712,24939,0.817314868562899,true,
study.social.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12018,5325,3818,2827,16077,789,14080,16866,0.8757852833240032,true,
study.social.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,21947,3840,14604,3454,16190,776,14080,16966,0.8696726374305127,true,
study.social.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15941,8978,10314,4230,17639,1477,14592,19116,0.8272577810533477,true,
study.social.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11011,4804,3203,2960,16048,713,14080,16761,0.8773678963110668,true,
study.social.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11549,4739,3680,3081,17547,752,15104,18299,0.8607739214680572,true,
study.social.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9089,4456,2672,1924,15820,559,14080,16379,0.8900126422250316,true,
study.social.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5521,3482,0,2005,16807,384,14080,17191,0.8377461771880764,true,
study.social.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10538,4744,2875,2769,16028,655,14080,16683,0.878462690291989,true,
study.social.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4228,2690,0,1508,16808,260,13824,17068,0.8224654926225606,true,
study.social.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5646,4000,0,1607,18217,460,14080,18677,0.7729044299280892,true,
study.social.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11044,4309,2987,3666,16046,693,14080,16739,0.8774772528979184,true,
study.social.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6865,3043,0,3789,17324,328,14080,17652,0.8127453244054491,true,
study.social.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6413,3314,0,3064,26539,337,21760,26876,0.8199253928181167,true,
study.social.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,10844,8696,0,2103,16168,1024,14080,17192,0.8708560118753093,true,
study.social.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7137,2993,0,4121,22330,402,16256,22732,0.7279892521271831,true,
study.social.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10550,4780,3168,2570,15743,682,14080,16425,0.8943657498570793,true,
study.social.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10303,4154,3265,2814,15900,594,14080,16494,0.8855345911949686,true,
study.social.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_related_providers,13411,5006,3701,4553,23339,908,20224,24247,0.8665324135567076,true,
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10857,4729,2693,3390,16271,820,14080,17091,0.865343248724725,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12317,3945,5418,2900,16224,711,14080,16935,0.8678500986193294,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15139,7664,7133,4677,17183,1239,14592,18422,0.849211429901647,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10728,4256,2885,3541,16230,798,14080,17028,0.8675292667898953,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13311,6269,3243,3720,18054,880,15616,18934,0.8649606735349507,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11358,4784,2998,3531,16215,856,14592,17071,0.8999074930619797,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5386,3570,0,1751,17925,413,11008,18338,0.6141143654114365,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10060,3798,3375,2763,16040,684,14592,16724,0.9097256857855361,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4896,2717,0,2153,16831,291,13824,17122,0.8213415720991029,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9240,3406,2899,2869,18390,486,15104,18876,0.82131593257205,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10846,4494,2603,3646,16211,800,14592,17011,0.900129541669237,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5706,3584,0,2084,17932,412,14080,18344,0.7851884898505465,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,11204,3337,0,7820,28169,363,22784,28532,0.8088324044162022,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,17354,9561,12378,4839,17942,1752,14592,19694,0.813287258945491,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,6931,2684,0,4208,24718,429,16256,25147,0.6576583866008576,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_locations,18964,5011,9479,4442,20647,598,18176,21245,0.8803215963578244,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10818,4791,2386,3605,15840,558,14080,16398,0.8888888888888888,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8740,3915,2493,2296,16987,522,15104,17509,0.8891505268734915,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11801,4607,4062,3092,16074,790,14592,16864,0.9078014184397163,true,
