route,count
contacto_inicial->recomendar,30
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan,23
contacto_inicial->recomendar|recomendar->recomendar,18
contacto_inicial->elicitacion_necesidades,16
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan|seguir_refinando_guardar_plan->crear_lead_cerrar,15
contacto_inicial->refinar_criterios,11
contacto_inicial->entrevista|entrevista->consultar_faq,10
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,6
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->consultar_faq,5
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->aclarar_pedir_faltante,4
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->seguir_refinando_guardar_plan,3
contacto_inicial->entrevista,3
contacto_inicial->entrevista|entrevista->recomendar,3
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,1
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->guardar_cerrar_temporalmente,1
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->entrevista,1
